utterance_id,emotion,speaker_gender,crop_side,start,end,path,vlm_analysis
Ses01F_impro01_F010,xxx,F,left,66.42,69.34,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F010.avi,"The woman begins with a neutral expression, her mouth corners slightly upturned, suggesting a relaxed demeanor. Her head is tilted slightly to the right, and she gazes off-screen, indicating engagement with something outside the frame. She is talking, evidenced by subtle lip movements. As the video progresses, her expression becomes more serious, with her mouth corners turning downwards. This shift in facial expression, combined with a slight furrowing of her brow, suggests a transition from neutrality to seriousness. Her head remains relatively still, but her gaze continues to be directed off-screen. Later, her expression returns to neutral, with her mouth corners relaxing back to their initial position. Throughout the video, her body language remains relatively static, with no significant posture shifts or gestures. The overall impression is that she is engaged in a conversation, initially appearing relaxed, then becoming more serious, before returning to a neutral state."
Ses01F_impro01_F011,fru,F,left,72.45,82.26,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F011.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed off-screen to the right. She is seated, with her head tilted slightly downward and to the right, suggesting she is listening or contemplating. Her body language is relaxed, with minimal movement. As the video progresses, her expression shifts subtly; her mouth corners turn upwards briefly, indicating a fleeting smile or a moment of amusement. This change coincides with a slight nod of her head, reinforcing the impression that she is engaged in a conversation or reacting to something said. Her eyebrows remain relatively neutral throughout, showing no significant changes in angle. Later, her expression returns to its initial neutral state, with her mouth corners downturning again. Her gaze remains consistently directed off-screen, and her posture stays unchanged, indicating sustained focus on something outside the frame. Overall, the woman's emotional state transitions from neutral to briefly amused and back to neutral, reflecting a momentary shift in her attention or reaction to an external stimulus."
Ses01F_impro01_F012,ang,F,left,85.27,88.02,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F012.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed off-screen to the right. Her head is tilted slightly to the right, and she remains relatively still, suggesting a passive engagement with something outside the frame. As the video progresses, her expression shifts subtly; her mouth corners turn upwards into a small smile, indicating a transition from neutrality to a more positive affect. This change is accompanied by a slight nodding motion of her head, reinforcing the impression of agreement or acknowledgment. Her body language remains relaxed throughout, with minimal movement beyond the subtle head nod. The combination of the upward turn of her mouth corners, the slight nod, and the consistent gaze direction suggests a shift towards a more engaged and positive emotional state. The overall impression is that she is initially neutral but becomes more engaged and subtly positive as the video continues."
Ses01F_impro01_F013,fru,F,left,93.67,97.0218,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F013.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed off-screen to the right. Her head is tilted slightly downward, and she remains relatively still, suggesting a passive engagement with something outside the frame. As the video progresses, her expression shifts subtly; her eyebrows furrow slightly, indicating a growing sense of concern or frustration. This change is accompanied by a slight tightening around her mouth, reinforcing the impression of displeasure. Her head tilts further downward, and her gaze becomes more focused on the area where she is seated. She makes small hand gestures, possibly fidgeting, which suggests underlying agitation or discomfort. Later, her expression softens slightly, and her mouth corners turn upwards briefly, hinting at a fleeting smile. This subtle shift indicates a momentary release of tension or a brief positive reaction. Throughout the video, her body language remains relatively static, with minimal movement beyond the subtle hand gestures and the slight shifts in head position. The combination of furrowed brows, tightened mouth, and fidgeting hands contributes to an overall impression of increasing frustration, followed by a brief moment of relief or amusement."
Ses01F_impro01_F014,neu,F,left,97.89,102.96,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F014.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed off-screen to the right. Her head is tilted slightly downward, and she remains relatively still, suggesting a passive engagement with something outside the frame. As the video progresses, her expression shifts subtly; her mouth corners turn upwards briefly, indicating a fleeting moment of amusement or agreement. This change coincides with a slight nod of her head, reinforcing the impression of acknowledgment or understanding. Her eyebrows remain neutral throughout, showing no significant change in angle. She continues to sit with minimal body movement, maintaining a relaxed posture. The overall impression is one of a calm and composed individual reacting to an external stimulus with subtle expressions of interest or mild amusement."
Ses01F_impro01_F015,fru,F,left,103.97,106.71,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F015.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed off-screen to the right. Her head is tilted slightly downward, and she remains relatively still, suggesting a passive engagement with something outside the frame. As the video progresses, her expression shifts subtly; her mouth corners turn upwards into a small smile, indicating a transition from neutrality to a more positive affect. This change is accompanied by a slight upward tilt of her head, suggesting increased interest or engagement. Her gaze also shifts slightly towards the camera, further reinforcing this change in focus. Throughout the video, her body language remains relaxed, with minimal movement, emphasizing a calm demeanor. The subtle smile, combined with the upward head tilt and shift in gaze, suggests a transition from a neutral to a mildly positive emotional state, possibly in response to an interaction or thought process occurring off-camera."
Ses01F_impro01_M000,fru,M,right,7.5712,10.475,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M000.avi,"The person begins with a neutral expression, indicated by relaxed facial muscles and a forward gaze. As the video progresses, there is a subtle shift towards engagement, marked by slight head tilts and nods, suggesting active listening or agreement. This engagement is further emphasized by a brief smile, characterized by upturned mouth corners, indicating a positive emotional response to the conversation. The smile appears briefly before returning to a neutral expression, suggesting a fleeting moment of amusement or satisfaction. Throughout the video, the person's body language remains relatively still, with minimal movement, reinforcing a calm and composed demeanor. The combination of these facial expressions, head movements, and body language suggests an overall transition from neutrality to engagement and then back to a neutral state, punctuated by a brief moment of positive emotion."
Ses01F_impro01_M001,fru,M,right,10.9266,14.6649,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M001.avi,"The individual begins with a neutral expression, characterized by relaxed facial muscles and a forward-facing head posture. As the video progresses, there is a subtle shift towards engagement, indicated by slight eyebrow raises and lip movements while speaking. This suggests an increase in interest or focus on the conversation. Later, the individual's gaze shifts slightly to the right, accompanied by a small nod, indicating active listening or agreement. Towards the end, a brief smile emerges, marked by upturned mouth corners, suggesting a positive reaction to something said or heard. Throughout the video, the individual maintains a relaxed body language, with minimal movement, reinforcing a calm and composed demeanor. The overall emotional arc transitions from neutrality to engagement, culminating in a brief moment of positivity."
Ses01F_impro01_M002,fru,M,right,16.8352,19.7175,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M002.avi,"The man begins with a neutral expression, characterized by relaxed facial muscles and a forward gaze. As he speaks, his mouth corners turn upwards slightly, indicating engagement and interest. His head remains mostly still, with occasional slight tilts and nods, suggesting active listening and participation. He uses hand gestures to emphasize points, adding dynamism to his communication. His eyebrows remain relatively neutral throughout, without significant furrowing or raising. The combination of these subtle facial expressions, head movements, and body language suggests an engaged and interested emotional state. The overall impression is one of focused attention and active involvement in the conversation."
Ses01F_impro01_M003,fru,M,right,23.47,28.03,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M003.avi,"The person begins with a neutral expression, indicated by relaxed facial muscles and a forward gaze. As the video progresses, there is a subtle shift towards engagement, marked by slight eyebrow raises and lip movements while speaking. This suggests an increase in interest or focus on the topic being discussed. Later, the individual's head tilts slightly to the right, accompanied by a small nod, indicating agreement or acknowledgment. The gaze remains directed off-screen, suggesting interaction with another person. Towards the end, the person's mouth corners turn upwards briefly, forming a small smile, which reflects a positive or agreeable emotional state. Throughout the video, the body language remains relatively still, with only minor postural adjustments, reinforcing a calm and composed demeanor. The combination of these facial expressions, head movements, and body language suggests a transition from neutrality to engagement, followed by a brief moment of positive emotion."
Ses01F_impro01_M004,fru,M,right,28.395,31.2117,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M004.avi,"The person begins with a neutral expression, indicated by relaxed facial muscles and a forward gaze. As the video progresses, there is a subtle shift towards engagement, marked by slight eyebrow raises and lip movements while speaking. This suggests an increase in interest or focus on the conversation. Later, the individual's head tilts slightly to the right, accompanied by a small nod, indicating agreement or acknowledgment. The gaze remains directed off-screen, suggesting continued attention to another person. Towards the end, the mouth corners turn upwards briefly, forming a small smile, which reflects a positive or agreeable emotional state. Throughout the video, the body language remains relatively still, with only minor postural adjustments, reinforcing a calm and composed demeanor. The overall emotional arc transitions from neutral to engaged, concluding with a hint of positivity."
Ses01F_impro01_M005,fru,M,right,31.266,39.3875,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M005.avi,"The man begins with a neutral expression, indicated by his relaxed mouth corners and steady gaze. As he speaks, his facial expressions shift to reflect engagement and thoughtfulness, shown through subtle eyebrow raises and slight lip movements. His head tilts and nods subtly, emphasizing points in his speech. He uses hand gestures to further illustrate his words, suggesting active participation in the conversation. Later, his expression becomes more animated, with more pronounced eyebrow movements and dynamic mouth movements, indicating increased enthusiasm. Towards the end, his expression returns to a more neutral state, with less pronounced facial movements, signaling a conclusion to his thoughts. Throughout the video, his body language remains relatively still, with only minor posture adjustments, maintaining a calm and focused demeanor. The overall emotional arc transitions from neutrality to engagement and enthusiasm, before returning to a composed state."
Ses01F_impro01_M006,fru,M,right,41.23,46.98,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M006.avi,"The individual begins with a neutral expression, characterized by relaxed facial muscles and a forward-facing head posture. As he speaks, his mouth corners turn upwards slightly, indicating engagement and interest. His gaze shifts between looking down at notes and glancing up, suggesting active listening and thought processing. He uses hand gestures to emphasize points, adding dynamism to his communication. His eyebrows remain relatively neutral throughout, without significant furrowing or raising. Later, his expression returns to neutral, maintaining a calm demeanor. The combination of slight upward mouth movement, hand gestures, and shifting gaze suggests an engaged and thoughtful emotional state. The overall impression is of someone who is initially neutral but becomes increasingly involved in the conversation through subtle expressions and gestures."
Ses01F_impro01_M007,fru,M,right,51.4,57.64,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M007.avi,"The person begins with a neutral expression, indicated by relaxed facial muscles and a forward-facing head posture. As they speak, their mouth corners move dynamically, reflecting engagement and emphasis. Their gaze shifts between looking down at notes and towards the audience, suggesting focus and interaction. They use hand gestures to emphasize points, indicating active communication. The head remains mostly straight but includes slight tilts and nods, further reinforcing their engagement. In the middle, there is a subtle shift towards a more serious demeanor, marked by a slight furrowing of the brow and a tightening of the lips, possibly due to concentration on the topic being discussed. This seriousness is supported by the continued dynamic movement of the mouth as they speak. Towards the end, a brief smile appears, characterized by upturned mouth corners and a slight crinkling around the eyes, suggesting a positive reaction or connection with the audience. The smile is accompanied by a slight relaxation of the facial muscles, contrasting with the earlier seriousness. Throughout the video, the person's body language remains relatively still, with primary movements confined to hand gestures and subtle head movements. The overall emotional arc transitions from neutral to engaged, then serious, and finally to a brief moment of positivity."
Ses01F_impro01_M008,fru,M,right,58.18,62.59,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M008.avi,"The man begins with a neutral expression, his mouth corners slightly downturned, suggesting a pensive mood. His gaze is directed off-screen to the right, indicating he is listening intently. He remains relatively still, with minimal body movement, reinforcing his focused attention. As the clip progresses, his expression shifts subtly; his mouth corners turn upwards briefly, hinting at a fleeting smile. This change coincides with a slight nod, suggesting agreement or acknowledgment. His eyebrows remain relaxed throughout, further supporting the impression of calm engagement. The overall demeanor transitions from neutral contemplation to a momentary expression of positive acknowledgment before returning to a neutral state. The subtle smile and nod are key indicators of this shift in emotion, reflecting a brief moment of connection or understanding within the context of the conversation."
Ses01F_impro01_M009,fru,M,right,65.51,73.0,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M009.avi,"The man begins with a neutral expression, characterized by relaxed facial muscles and a steady gaze directed slightly to his right. As he speaks, his mouth corners turn upwards, indicating engagement and interest. His head remains relatively still, with occasional slight tilts and nods, suggesting active listening and participation. He uses hand gestures to emphasize points, adding dynamism to his communication. His eyebrows remain neutral throughout, reinforcing a calm demeanor. Later, his expression shifts subtly towards a more serious tone, marked by a slight furrowing of his brow and a tightening of his lips. This change is accompanied by continued hand gestures, which become more pronounced, reflecting increased emphasis on certain points. Towards the end, his expression softens again, with a subtle smile appearing, indicated by the upturning of his mouth corners. This smile suggests a positive shift in his emotional state, possibly in response to something said or heard. Throughout the video, his body language remains relaxed, with no significant changes in posture. The overall emotional arc transitions from neutral to engaged and interested, then to a more serious demeanor before returning to a positive state."
Ses01F_impro01_M010,fru,M,right,81.59,86.03,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M010.avi,"The man begins with a neutral expression, his mouth corners slightly upturned, suggesting a relaxed demeanor. As he speaks, his facial expressions shift to reflect engagement and thoughtfulness, marked by subtle eyebrow raises and lip movements. His head tilts and nods, indicating active listening and agreement, while his gaze alternates between looking down at notes and glancing towards others in the room. He uses hand gestures to emphasize points, adding dynamism to his communication. His body language transitions from relaxed to more engaged, reflecting an increasing investment in the conversation. Towards the end, his expression softens into a slight smile, signaling a positive conclusion to his thoughts. This evolution from neutrality to engagement and back to a mild smile suggests a thoughtful and responsive interaction."
Ses01F_impro01_M011,ang,M,right,87.15,94.39,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M011.avi,"The man begins with a neutral expression, his mouth corners slightly upturned, suggesting a relaxed demeanor. As he speaks, his facial expressions shift to reflect engagement and thoughtfulness; his eyebrows raise slightly, and his gaze moves between looking forward and glancing down at notes. He nods occasionally, indicating agreement or emphasis, and uses hand gestures to illustrate points. His head tilts slightly, showing active listening. Later, his expression becomes more animated, with more pronounced eyebrow raises and lip movements, reflecting increased enthusiasm. His body language remains relatively still, with occasional hand gestures and subtle shifts in posture. Towards the end, his expression returns to a more neutral state, though his mouth corners remain slightly upturned, hinting at a lingering positive affect. Overall, the man's emotional state transitions from neutral to engaged and enthusiastic, then back to a more neutral yet positive state."
Ses01F_impro01_M012,xxx,M,right,95.86,98.68,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M012.avi,"The individual begins with a neutral expression, characterized by relaxed facial muscles and a steady gaze directed slightly to the right. As the video progresses, there is a subtle shift towards a more pensive demeanor, indicated by a slight furrowing of the brow and a more focused gaze. This pensive state is further emphasized by a slight head tilt to the right, suggesting contemplation. The individual's body language remains relatively still, with minimal movement, reinforcing a sense of calm introspection. Towards the end, a brief smile emerges, marked by a slight upturn of the mouth corners, indicating a transition from pensiveness to a momentary feeling of contentment or satisfaction. Throughout the video, the individual maintains a consistent posture, with no significant changes in body position or hand gestures, underscoring the overall calm and reflective mood."
Ses01F_impro01_M013,ang,M,right,101.84,107.87,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M013.avi,"The man begins with a neutral expression, his mouth corners slightly upturned, suggesting mild engagement. As he speaks, his head tilts slightly to the right, indicating active listening or consideration. His gaze shifts between looking down at notes and glancing forward, reflecting focus on both his material and the audience. He occasionally nods subtly, reinforcing his engagement. His body language is relaxed yet attentive, with hands resting on his lap and occasional small gestures. As the video progresses, his expression becomes more serious, with his mouth corners turning downwards, indicating a shift towards concentration or contemplation. This change is accompanied by a slight furrowing of his brow, further emphasizing his focused demeanor. Throughout, his eyebrows remain relatively neutral, and his teeth are briefly visible when he speaks. The overall impression is of a speaker who transitions from a neutral, mildly engaged state to a more serious and concentrated demeanor as he delivers his message."
Ses01F_impro02_F000,sad,F,left,7.2688,16.6,utterance_clips/Session1/Ses01F_impro02/Ses01F_impro02_F000.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed downwards. Her head is tilted slightly down, and she remains relatively still, suggesting a pensive or contemplative state. As the video progresses, her expression shifts to a more serious demeanor, with her mouth corners becoming more neutral. She continues to look downward, and her head remains still, reinforcing the impression of focused thought or listening. Later, her expression becomes more relaxed, with a subtle smile appearing briefly, indicating a shift towards a more positive or content emotional state. This change is accompanied by a slight upward tilt of her head and a more direct gaze, suggesting engagement or acknowledgment of something off-screen. Throughout the video, her body language remains relatively static, with minimal movement, emphasizing her focus on internal thoughts or an unseen interaction. The subtle changes in her facial expressions, particularly around the mouth and eyes, coupled with her consistent head posture and gaze, provide insight into her evolving emotional state from neutrality through seriousness to a brief moment of positivity."
Ses01F_impro02_F001,sad,F,left,19.85,22.78,utterance_clips/Session1/Ses01F_impro02/Ses01F_impro02_F001.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed downwards towards her lap. Her head is tilted slightly down, and she remains relatively still, suggesting a pensive or contemplative state. As the video progresses, her facial expressions shift subtly; her mouth corners turn upwards into a small smile, indicating a transition to a more positive or content emotional state. This change is accompanied by a slight upward tilt of her head, suggesting increased engagement or interest. Her body language also becomes more animated, with subtle hand gestures accompanying her speech, further reinforcing the shift towards a more positive affect. The combination of the upward head tilt, the small smile, and the hand gestures suggests a growing sense of ease and positivity. The overall emotional arc transitions from a neutral, contemplative state to a more positive and engaged demeanor."
Ses01F_impro02_F002,sad,F,left,26.5659,32.2895,utterance_clips/Session1/Ses01F_impro02/Ses01F_impro02_F002.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed downwards. Her head is tilted slightly down, suggesting introspection or contemplation. She remains relatively still, with minimal body movement, indicating a calm and focused demeanor. As she speaks, her facial expressions shift subtly; her mouth moves to form words, and her eyebrows remain relaxed. Her gaze occasionally shifts upwards, possibly towards an unseen audience or camera. There are no significant changes in her posture or body language, maintaining a consistent, seated position throughout. Later, her expression becomes more engaged, with slight upturns of her mouth corners, hinting at a positive or agreeable sentiment. This subtle change in her mouth suggests a shift from neutrality to mild engagement or agreement. Her head tilts slightly upward, further reinforcing this change in focus. Throughout the video, her overall demeanor remains calm and composed, with the primary changes being in her facial expressions and gaze direction, reflecting a transition from a neutral state to a more engaged and positive one."
Ses01F_impro02_F003,neu,F,left,32.3075,37.96,utterance_clips/Session1/Ses01F_impro02/Ses01F_impro02_F003.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed downwards towards her lap. Her head is tilted slightly down, and she remains relatively still, suggesting a pensive or contemplative state. As the video progresses, her facial expressions shift subtly; her mouth corners turn upwards into a small smile, indicating a transition to a more positive or relaxed emotional state. This change is accompanied by a slight upward tilt of her head, suggesting increased engagement or interest. Her body language also becomes more animated, with subtle hand gestures accompanying her speech, further reinforcing the shift towards a more positive emotional state. The combination of the upward head tilt, the small smile, and the hand gestures suggests a transition from neutrality to a more engaged and positive emotional state."
Ses01F_impro02_F004,sad,F,left,47.34,53.11,utterance_clips/Session1/Ses01F_impro02/Ses01F_impro02_F004.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed downwards towards her lap. Her head is tilted slightly down, and she remains relatively still, suggesting a pensive or contemplative state. As the video progresses, her facial expressions shift subtly; her mouth corners turn upwards into a small smile, indicating a transition to a more positive or content emotional state. This change is accompanied by a slight upward tilt of her head, suggesting a shift in focus or engagement. Her body language remains mostly static, with minimal movement, reinforcing the impression of introspection or quiet reflection. The subtle smile and upward head tilt suggest a momentary shift from neutrality to a more positive affect, possibly triggered by an internal thought or memory. Overall, the woman's emotional state transitions from neutral to mildly positive, marked by a subtle smile and a slight lift in her head posture."
Ses01F_impro02_F005,sad,F,left,58.75,61.31,utterance_clips/Session1/Ses01F_impro02/Ses01F_impro02_F005.avi,"The woman begins with a neutral expression, her mouth corners slightly downturned, and her gaze directed downwards. Her head is tilted slightly to the right, and she remains relatively still, suggesting a contemplative or pensive mood. As the video progresses, her expression shifts subtly; her mouth corners turn upwards into a small smile, indicating a transition from neutrality to a more positive emotion. This change is accompanied by a slight nodding motion of her head, reinforcing the shift towards a more engaged and positive demeanor. Her gaze also becomes more direct, looking straight ahead, which further supports the interpretation of increased engagement. Throughout the video, her body language remains relaxed, with minimal movement, emphasizing the subtle changes in facial expressions and head movements as the primary indicators of her emotional state."
