utterance_id,emotion,speaker_gender,crop_side,start,end,path,vlm_analysis,paligemma_emotion
Ses01F_impro01_F010,xxx,F,left,66.42,69.34,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F010.avi,"The video features a young adult female with shoulder-length brown hair pulled back into a ponytail, positioned centrally in the frame against a plain background. She is wearing a dark sleeveless top over a coral-colored shirt and has a black bag beside her. Her expression is neutral or slightly serious, with her mouth corners subtly downturned. Her gaze is directed off-screen to the right, suggesting she is engaged in conversation with someone unseen. Throughout the video, she speaks, indicated by subtle lip movements and jaw motion. Her head remains relatively still, with occasional slight tilts and turns, further reinforcing her engagement in the conversation. Her body language is minimal, with no significant gestures or movements apart from those associated with speaking. The overall impression is one of focused attention and a calm demeanor, with her facial expressions and body language conveying a sense of seriousness and attentiveness.",neutral
Ses01F_impro01_F011,fru,F,left,72.45,82.26,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F011.avi,"The video features a young adult woman with dark hair styled in a bun, wearing a dark headband adorned with a small white flower. She is dressed in a sleeveless reddish-brown top and dark pants, complemented by a black cross-body bag. Her face is round, with almond-shaped eyes and a rounded nose tip. Initially, her expression is neutral, with her mouth corners slightly downturned. As she begins to speak, her mouth moves, and her teeth become briefly visible. Her gaze shifts between looking directly forward and glancing down or to the side. Her eyebrows remain relatively neutral throughout, without significant raising or furrowing. She makes subtle hand gestures while speaking, though they are not fully visible due to the camera angle. Her head remains mostly still, facing forward, with occasional slight tilts. Her overall demeanor suggests a calm and focused state as she engages in conversation. The lighting is dim, casting subtle shadows on her face, and the background is plain and nondescript. There are no discernible camera movements, maintaining a static shot of the woman.",neutral
Ses01F_impro01_F012,ang,F,left,85.27,88.02,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F012.avi,"The woman in the video is seated against a plain background, wearing a dark baseball cap, a sleeveless dark top, and a skirt. Her hair is pulled back into a ponytail, and she has a watch on her left wrist. She maintains a relatively still posture with her head slightly tilted to the right, consistently directing her gaze off-screen to her right, suggesting engagement with something or someone outside the frame. Her facial expression remains neutral throughout, with no significant changes in eyebrow position or mouth shape. The corners of her eyes appear slightly downturned, and her lips maintain a neutral position without noticeable movement. Her body language is minimal, with only slight shifts in posture, indicating a relaxed yet attentive demeanor. There are no discernible changes in her facial expressions, body language, or overall demeanor during the video. The lack of dynamic facial actions, combined with her steady gaze and minimal body movement, suggests a calm and focused state, possibly listening intently or reflecting on something unseen. The lighting is dim, making it difficult to discern finer details like skin tone and eye color.",neutral
Ses01F_impro01_F013,fru,F,left,93.67,97.0218,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F013.avi,"The video features a young adult female with shoulder-length dark brown hair styled in a low ponytail, wearing a black baseball cap and a coral-colored top. She is seated against a plain, light-colored background, possibly on a chair or bench. Her gaze is directed slightly downwards and to her right, off-camera, as she engages in conversation. Initially, her expression is neutral, but as she speaks, her mouth corners turn slightly upwards into a subtle smile, suggesting a shift towards a more positive or engaged emotional state. Her eyebrows remain relatively neutral throughout, without significant furrowing or raising.

Her body language is primarily static due to her seated position, with minimal movement. However, she makes small hand gestures while speaking, indicating engagement in the conversation. Her head remains mostly still, facing forward, with occasional slight tilts and turns, further emphasizing her focus on the interaction. The subtle smile, combined with the upward turning of her mouth corners, suggests a positive emotional response, possibly amusement or agreement with what's being discussed. The lack of significant eyebrow movement indicates that her emotions are not highly intense or complex, aligning with a calm and focused demeanor. The overall impression is one of a relaxed yet attentive individual engaged in a casual conversation.",neutral
Ses01F_impro01_F014,neu,F,left,97.89,102.96,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F014.avi,"The video features a young adult woman with dark brown or black hair styled in a high ponytail, seated against a plain, light-colored background. She wears a dark baseball cap, a coral-colored top, and a dark vest. Her face is oval-shaped with a rounded chin, and she has narrow lips. Initially, her expression is neutral, with her mouth corners slightly downturned and her gaze directed downwards. As she begins to speak, her mouth moves, and her teeth become briefly visible. Her eyebrows remain relatively neutral throughout, with no significant raising or furrowing. Her head remains mostly still, facing forward, with occasional slight tilts and nods as she speaks. Her body language is relaxed, with minimal movement aside from subtle hand gestures accompanying her speech. The overall impression is one of calmness and focus, with her gaze shifting between looking directly at the camera and glancing down. Her facial expressions shift subtly as she speaks, reflecting the nuances of her message. The lighting is even but somewhat dim, making it difficult to discern finer details like skin texture and eye color. The scene remains static, with no camera movement or changes in the background.",neutral
Ses01F_impro01_F015,fru,F,left,103.97,106.71,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_F015.avi,"The video features a young adult woman with dark hair styled in a ponytail, seated against a plain background. She is wearing a dark jacket over a reddish top and a bracelet on her left wrist. Her gaze is directed slightly to the right of the camera, and she maintains a relatively still posture throughout the video. Initially, her expression is neutral, but as she begins to speak, subtle shifts occur. Her mouth corners turn upwards into a slight smile, suggesting a positive or agreeable tone. This change coincides with a slight raising of her eyebrows, indicating engagement or interest in the conversation. Her head remains mostly still, with occasional small nods that emphasize points in her speech. The woman's body language is relaxed yet attentive, with minimal hand gestures, reinforcing her focused demeanor. Her speech is accompanied by natural blinking and subtle lip movements, consistent with normal conversational flow. Overall, the combination of her facial expressions, head movements, and body language suggests an engaged and positive emotional state, characterized by attentiveness and a subtle sense of agreement or enjoyment in the interaction.",neutral
Ses01F_impro01_M000,fru,M,right,7.5712,10.475,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M000.avi,"The video features a young adult male with medium-length brown hair, wearing a gray t-shirt and a watch on his left wrist, sitting in the center of the frame. He is engaged in conversation, as indicated by subtle mouth movements. His expression remains neutral throughout, with no significant changes in facial expressions such as brow furrowing or lip tension. His gaze is directed slightly to the right, suggesting he is addressing someone off-screen. The man's body language is relaxed; he sits comfortably with minimal movement, and his head remains relatively still, facing slightly to the right. He does not exhibit any notable physical cues like fidgeting or gesturing. His speech is steady, with no noticeable changes in pace or volume, maintaining a calm and composed demeanor. The overall impression is one of attentiveness and engagement in the conversation, without strong emotional displays. The setting is a brightly lit room, possibly an office or waiting area, with two other individuals partially visible in the background—one standing and another seated—though their features are difficult to discern due to distance and blur. The camera remains static, focused on the central figure.",neutral
Ses01F_impro01_M001,fru,M,right,10.9266,14.6649,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M001.avi,"The video features a young adult male with medium-length brown hair, wearing a gray t-shirt and a wristwatch on his left wrist. He is seated in a chair, initially looking off to the right side of the frame. His expression is neutral, with relaxed eyebrows and mouth corners. As he begins to speak, his gaze shifts towards the center of the frame, and his mouth moves as he talks. He makes subtle hand gestures while speaking, and his head turns slightly from right to center. His facial expressions remain relatively consistent, with no significant changes in eyebrow position or mouth shape beyond those associated with speaking. The overall demeanor suggests a calm and focused state, engaged in conversation. The lighting is even and moderately bright, coming from overhead fluorescent lights. In the background, another individual is partially visible but too obscured to discern details about their appearance or actions. The camera remains static throughout the short clip.",neutral
Ses01F_impro01_M002,fru,M,right,16.8352,19.7175,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M002.avi,"The video features a young adult male with light brown or blonde hair, seated in the foreground on the left side of the frame. He is wearing a gray t-shirt and a watch on his left wrist. Initially, he holds a piece of paper, looking down at it with a neutral expression. As he begins to speak, his gaze shifts upwards towards someone off-screen, and his mouth corners turn slightly upwards into a subtle smile. His eyebrows remain relatively neutral throughout. He makes small hand gestures while speaking, emphasizing points in his conversation. His head remains mostly still, facing forward, with occasional slight tilts as he speaks. The man's facial expressions transition from neutral to subtly cheerful as he engages in conversation, indicated by the upward movement of his mouth corners and the slight smile that forms. His body language includes holding the paper, making small hand gestures, and maintaining a generally upright posture. These actions suggest an engaged and communicative demeanor. The subtle smile and upward gaze indicate a shift from a neutral state to one of mild engagement or interest. In the background, another individual is partially visible, but details about their appearance and actions cannot be determined due to limited visibility. The scene takes place in a dimly lit room, with the camera remaining static and focused on the man in the foreground.",neutral
Ses01F_impro01_M003,fru,M,right,23.47,28.03,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M003.avi,"The video features a young adult male with medium-length brown hair, wearing a gray t-shirt and a watch on his left wrist, seated in a chair. He is engaged in conversation, gesturing with his right hand while holding papers in his left hand. His gaze shifts between the papers and someone off-screen to his right. Initially, he maintains a neutral expression, but as he speaks, his mouth corners turn slightly upwards, suggesting engagement or mild amusement. He occasionally nods subtly, indicating agreement or emphasis. His eyebrows remain relatively neutral throughout, without significant furrowing or raising. The man's body language is relaxed yet attentive, with his hand gestures accompanying his speech, adding emphasis to his words. His head remains mostly still, facing forward, with slight turns towards the person he is addressing. He blinks naturally throughout the interaction. The overall impression is one of a casual, engaged conversation, with subtle shifts in facial expressions and body language reflecting his active participation in the discussion. In the background, another individual is partially visible, but their features are largely obscured, making further description impossible. The lighting in the room is even and moderately bright, coming from overhead fluorescent lights.",neutral
Ses01F_impro01_M004,fru,M,right,28.395,31.2117,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M004.avi,"The video features a young adult male with medium-length brown hair, wearing a light gray t-shirt and a dark wristwatch, seated in the foreground. He is engaged in conversation, his gaze directed off-screen to the right. His facial expression remains relatively neutral throughout, with subtle movements of his mouth as he speaks. His eyebrows stay relaxed, and there are no significant changes in his eye corners or mouth corners. He maintains a consistent head position, facing slightly to the right, with minimal body movement aside from slight shifts in posture while seated. The man's primary action is talking, evident through his mouth movements and subtle jaw motions. His overall demeanor suggests a calm and focused engagement in the conversation.

In the background, two individuals are partially visible: one to the left and another to the right. However, due to limited visibility and distance, their features and actions cannot be clearly discerned. Their presence adds context but does not directly influence the main subject's behavior or expressions. The scene takes place in a moderately lit room, with the camera remaining static, focusing on the foreground subject.",neutral
Ses01F_impro01_M005,fru,M,right,31.266,39.3875,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M005.avi,"The video features a young adult male with medium-length brown hair, wearing a gray t-shirt and a watch on his left wrist, seated in the center of the frame. He is engaged in conversation, holding papers in his lap. Initially, he maintains a neutral expression, with his gaze directed slightly to the right of the camera. As he begins speaking, his mouth moves naturally, and he occasionally nods subtly. His eyebrows remain relatively neutral, with slight raises coinciding with moments of emphasis in his speech. He uses hand gestures to emphasize points while talking, and his teeth become visible intermittently as he speaks. His overall demeanor suggests engagement and thoughtfulness, with subtle shifts in expression reflecting the nuances of his speech. The corners of his mouth turn upwards briefly when he smiles, indicating a positive or agreeable response to the conversation. His head remains mostly still, facing forward, with occasional slight tilts and turns as he speaks. The lighting is even and moderately bright, coming from overhead fluorescent lights. In the background, two other individuals are partially visible, one to the left and another to the right, but their features are largely obscured due to the camera's focus on the central figure. The scene remains static throughout the video, with no discernible camera movement.",neutral
Ses01F_impro01_M006,fru,M,right,41.23,46.98,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M006.avi,"The video features a young adult male with medium-length brown hair, wearing a gray t-shirt and a dark wristwatch on his left wrist. He is seated in a chair, holding papers in his lap. Initially, he maintains a neutral expression while looking down at the papers. As he begins to speak, his mouth moves, and his gaze shifts slightly upwards, indicating engagement with an unseen audience or camera. His eyebrows remain relatively neutral throughout, with no significant furrowing or raising. He makes small hand gestures while speaking, emphasizing points in his speech. His head remains mostly still, facing forward, with occasional slight tilts and nods. The corners of his mouth turn slightly upwards as he speaks, suggesting a subtle shift towards a more engaged or positive expression. He blinks naturally throughout the video. His overall demeanor suggests a focused and attentive state, possibly giving a presentation or explanation. The lighting in the room is even but somewhat dim, making it difficult to discern finer details like eye color and skin tone. The background consists of plain white walls, and there are no noticeable camera movements.",neutral
Ses01F_impro01_M007,fru,M,right,51.4,57.64,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M007.avi,"The video features a young adult male with medium-length brown hair, wearing a gray t-shirt and a dark wristwatch on his left wrist. He is seated in a chair, holding papers in his lap. Initially, he maintains a neutral expression while looking down at the papers. As he begins to speak, his mouth moves, and his gaze shifts towards someone off-screen. His eyebrows remain relatively neutral throughout, with no significant furrowing or raising. He makes small hand gestures while talking, occasionally nodding his head slightly. His facial expressions shift subtly as he speaks, with slight smiles appearing intermittently, suggesting engagement and interest in the conversation. His body language remains relaxed, with minimal movement aside from the hand gestures and occasional head nods. The overall impression is one of calmness and focus, with subtle shifts in expression indicating active participation in the discussion. The setting is a room with plain white walls and overhead fluorescent lighting, which creates some shadows on his face. The camera remains static, focused solely on him.",neutral
Ses01F_impro01_M008,fru,M,right,58.18,62.59,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M008.avi,"The video features a young adult male with medium-length brown hair, wearing a gray t-shirt and a dark wristwatch on his left wrist. He is seated in a chair, holding papers in his lap. Initially, he maintains a neutral expression, with his gaze directed slightly to the right of the camera. As he begins to speak, his mouth moves, and his teeth become briefly visible. His eyebrows remain relatively neutral throughout, with no significant furrowing or raising. He makes subtle hand gestures while speaking, and his head remains mostly still, with occasional slight turns towards the right. His overall demeanor suggests engagement in conversation, as indicated by his speech-related facial actions and body language. The lighting in the room is even but somewhat dim, making it difficult to discern finer details like eye color and skin tone. The background consists of plain white walls and a simple ceiling, suggesting an indoor setting, possibly a classroom or meeting room. There are no noticeable camera movements, and the scene remains static throughout the video.",neutral
Ses01F_impro01_M009,fru,M,right,65.51,73.0,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M009.avi,"The video features a young adult male with medium-length brown hair, wearing a gray t-shirt and a watch on his left wrist, seated in the center of the frame. He is engaged in conversation, gesturing with his hands while holding papers in his lap. His gaze shifts between looking forward and glancing down at the papers. Initially, he maintains a neutral expression, but as he speaks, his mouth corners turn slightly upwards into a subtle smile, indicating engagement or agreement. His eyebrows remain relatively neutral throughout, without significant furrowing or raising. He talks continuously, with his lips moving in sync with his speech, occasionally revealing his teeth. He nods subtly while speaking, emphasizing points in the conversation. His hand gestures accompany his speech, adding emphasis to his words. The overall demeanor suggests a focused and attentive state, with occasional moments of mild enthusiasm reflected in his slight smiles and animated hand movements. His body language remains relaxed yet engaged, consistent with someone actively participating in a discussion. The lighting in the room is even and moderately bright, coming from overhead fluorescent lights. In the background, two other individuals are partially visible, one to the left and another to the right, but their details are obscured due to limited visibility. The camera remains static, focusing solely on the central figure.",neutral
Ses01F_impro01_M010,fru,M,right,81.59,86.03,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M010.avi,"The video features a young adult male with medium-length brown hair, wearing a light gray t-shirt and a wristwatch on his left wrist. He is seated in the center of the frame, holding papers or notes. Initially, he maintains a neutral expression, with his gaze directed slightly to the right of the camera. As he begins to speak, his mouth moves, and his teeth become briefly visible. His eyebrows remain relatively neutral throughout, with no significant furrowing or raising. He makes small hand gestures while talking, and his head remains mostly still, with occasional slight tilts and turns. His overall demeanor suggests engagement in conversation, possibly explaining something or giving a presentation. The corners of his mouth turn upwards slightly as he speaks, indicating a shift from neutrality to a more engaged or interested expression. This change in expression is associated with the movement of his mouth and the brief visibility of his teeth. His body language, including the hand gestures and slight head movements, reinforces the impression of active communication. The lighting in the room is even but somewhat dim, making it difficult to discern finer details like eye color or skin tone. The background consists of plain white walls, suggesting an indoor setting, possibly an office or classroom. There are no noticeable camera movements, and the scene remains static throughout the short clip.",neutral
Ses01F_impro01_M011,ang,M,right,87.15,94.39,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M011.avi,"The video features a young adult male with medium-length brown hair, wearing a gray t-shirt and jeans, sitting in the center of the frame. He is clean-shaven and has no visible accessories. Initially, his expression is neutral as he looks off-screen to the right, possibly at another person. As he begins to speak, his mouth moves, and his teeth become briefly visible. His eyebrows remain relatively neutral throughout, with slight movements coinciding with his speech. He uses hand gestures while talking, emphasizing points or illustrating ideas. His head remains mostly still, facing slightly to the right, but occasionally turns more directly towards the camera. He blinks naturally, and his gaze shifts between looking forward and glancing down. His overall demeanor suggests engagement in conversation, with subtle shifts in expression indicating thoughtfulness or mild enthusiasm. The corners of his mouth turn upwards slightly when he speaks, suggesting a positive or engaged emotional state. His body language, including hand gestures and occasional head turns, reinforces the impression of active participation in a discussion. The lighting is even and moderately bright, coming from overhead fluorescent lights. The background is nondescript, suggesting an indoor setting like an office or classroom. There are no significant changes in the scene or camera movement throughout the video.",neutral
Ses01F_impro01_M012,xxx,M,right,95.86,98.68,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M012.avi,"The video features a young adult male with medium-length brown hair, wearing a gray t-shirt and a dark wristwatch on his left wrist. He is seated in a chair, holding a piece of paper, and appears to be reading or reviewing it. His head is slightly tilted downwards, and his gaze is fixed on the paper. Initially, he maintains a neutral expression, with his mouth corners slightly downturned. As he begins to speak, his mouth moves, and his teeth become briefly visible. His eyebrows remain relatively neutral throughout, without significant raising or furrowing. He makes small nodding motions with his head as he speaks, indicating engagement with the material. His body language remains mostly static, with minimal movement aside from the subtle head nods and the act of holding and presumably reading the paper. The overall impression is one of focused concentration, possibly engaged in a task such as presenting information or explaining a concept. The lighting in the room is somewhat dim, casting slight shadows on his face.",neutral
Ses01F_impro01_M013,ang,M,right,101.84,107.87,utterance_clips/Session1/Ses01F_impro01/Ses01F_impro01_M013.avi,"The video features a young adult male with medium-length brown hair, wearing a light gray t-shirt and jeans, sitting in the center of the frame. He is clean-shaven and has no visible accessories. Initially, he holds a piece of paper, his gaze directed downwards at it. His expression is neutral, with relaxed eyebrows and mouth corners. As he begins to speak, his gaze shifts towards someone off-screen, and his expression becomes more engaged. He talks throughout the video, with his mouth moving naturally with his words. He occasionally nods his head slightly for emphasis or agreement. His body language remains relatively still, primarily focused on holding and reading from the paper. Later, he gestures with his right hand while continuing to speak, further emphasizing his points. His facial expressions shift subtly between neutral and engaged as he speaks, reflecting his focus on conveying information. The slight upturns of his mouth corners suggest moments of engagement or mild enthusiasm. His overall demeanor suggests a focused and attentive state, with subtle shifts in expression and body language indicating active participation in the conversation. In the background, two other individuals are partially visible—one seated to the left and another standing to the right—but their features are largely obscured due to the camera's focus on the central figure. The lighting is even and moderately bright, coming from overhead fluorescent lights. The scene remains static, with no discernible camera movement.",neutral
Ses01F_impro02_F000,sad,F,left,7.2688,16.6,utterance_clips/Session1/Ses01F_impro02/Ses01F_impro02_F000.avi,"The video features a young adult woman with shoulder-length dark brown or black hair styled in two braids, wearing a dark headband adorned with small white polka dots. She is dressed in a dark vest over a reddish-pink top and dark pants, accessorized with a watch on her left wrist. Her face is round, with almond-shaped eyes and a rounded nose tip. Initially, she maintains a neutral expression, her gaze directed slightly downwards, possibly at something in her lap. Her hands are clasped together in her lap, and her body remains still, suggesting a calm and focused demeanor. As the video progresses, subtle shifts occur in her facial expressions. Her mouth corners turn slightly downwards, indicating a shift towards a more pensive or contemplative state. This change is accompanied by a slight furrowing of her brows, further emphasizing her thoughtful appearance. Her head remains relatively still throughout, reinforcing her focused attention. The overall impression is one of quiet contemplation or introspection, as suggested by her minimal movements and the subtle changes in her facial expression. The scene is set against a plain, light-colored background, with soft, diffused lighting from above casting gentle shadows on her face. The camera remains static, focusing solely on the woman.",neutral
