sr_no,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,split,path,vlm_analysis
11,No dont I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt10.mp4,"The speaker begins with a neutral expression, which transitions to a cheerful demeanor marked by upturned mouth corners and visible teeth, before returning to neutrality. This shift is accompanied by subtle eyebrow raises and slight head nods, indicating engagement and agreement. The speaker maintains a consistent gaze towards the off-screen listener, suggesting focused attention. His body language remains relatively still, with minimal movement beyond these facial expressions and head nods. The overall emotional arc suggests an initial neutral state that evolves into cheerfulness, possibly in response to the conversation, before settling back into neutrality."
12,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt11.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, indicated by subtle eyebrow raises and slight lip movements. His gaze remains directed towards the listener, suggesting attentiveness. He nods slightly while speaking, indicating agreement or emphasis. His body language is relatively still, with minimal movement, reflecting a focused and professional demeanor. As the conversation progresses, his expression becomes more animated, with more pronounced eyebrow movements and mouth corner adjustments, suggesting increasing engagement and enthusiasm. Towards the end, there is a brief smile, characterized by upturned mouth corners and a relaxed facial posture, indicating a positive shift in the interaction. This smile is accompanied by a slight head tilt, further emphasizing the positive change in his emotional state. Overall, the speaker's emotional arc moves from neutral to engaged, then to enthusiastic, culminating in a brief moment of positivity."
13,Really?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt12.mp4,"The speaker begins with a neutral expression, which transitions to a more serious demeanor as he speaks, indicated by furrowed brows and a focused gaze. His mouth corners initially downturned, shift slightly upwards as he continues talking, suggesting a subtle change in his emotional state. He nods occasionally, emphasizing points in the conversation, and his body language remains relatively still, indicating a focused engagement. The speaker's facial expressions evolve from neutral to serious, then to a slight smile, reflecting a shift from neutrality to seriousness, and finally to a hint of positivity. This progression is supported by the furrowing of his brows, the movement of his mouth corners, and the occasional nodding of his head."
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia0_utt13.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks. His mouth corners turn upwards, indicating a shift towards a positive emotion. He nods slightly while speaking, suggesting agreement or emphasis. His gaze remains directed towards the other person throughout the interaction. The speaker's body language is relatively still, with minimal movement, maintaining a professional and focused presence. The combination of his facial expressions, head movements, and steady gaze suggests an engaged and positive emotional state."
15,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia1_utt0.mp4,"The speaker begins with a neutral expression, which transitions to a more serious demeanor as he speaks, indicated by furrowed brows and a focused gaze. His mouth corners remain mostly neutral but occasionally turn slightly downwards, suggesting seriousness or concern. He nods subtly while speaking, indicating engagement in the conversation. His body language remains relatively still, with minimal movement, reinforcing his focused attention. The combination of furrowed brows, a focused gaze, and subtle nods suggests an emotional arc that starts neutral, progresses to seriousness, and briefly shifts to a hint of amusement or agreement towards the end. This shift is marked by a slight upturn of the mouth corners, indicating a brief smile."
16,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia1_utt1.mp4,"The speaker begins with a neutral expression, which transitions to frustration, indicated by furrowed brows and a tense mouth. This frustration is further emphasized by her head shaking and gesturing with her hands. Her gaze remains directed towards the man throughout the interaction. As the clip progresses, she briefly smiles, suggesting a shift to a more positive emotion. The smile is characterized by upturned mouth corners and a slight relaxation of her facial muscles. The overall emotional arc is neutral to frustrated, with a brief moment of positivity."
17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia1_utt2.mp4,"The speaker begins with a neutral expression, which transitions to frustration, and concludes with a brief smile. Initially, her mouth corners are downturned, reflecting neutrality. As she speaks, her eyebrows furrow slightly, and her mouth corners turn upwards, indicating frustration. Her gaze remains directed towards the camera, suggesting engagement. She nods subtly while speaking, reinforcing her points. Her body language includes slight hand gestures, adding emphasis to her words. Later, her mouth corners return to a neutral position, and her expression softens into a brief smile, suggesting a shift to a more positive emotion. This transition is marked by a subtle upturn of her mouth corners and a slight relaxation of her facial muscles. Throughout the clip, her head remains relatively still, facing forward, maintaining consistent eye contact with the camera."
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia1_utt3.mp4,"The woman begins with a neutral expression, her mouth corners slightly downturned, indicating mild concern or seriousness. Her eyebrows remain relatively neutral throughout. As she speaks, her mouth moves dynamically, reflecting the changing sounds and words she produces. She occasionally nods her head subtly, emphasizing points in her speech. Her gaze remains fixed on the man, suggesting focused engagement. Her body language is relatively still, with minimal movement aside from the subtle head nods. Later, her expression shifts to one of slight frustration, marked by a more pronounced downturn of her mouth corners. This change coincides with a slight increase in the intensity of her speech, further emphasized by her head nods. Finally, her expression softens, and a brief smile appears, indicated by a slight upturn of her mouth corners. This smile suggests a shift towards a more positive or agreeable emotional state. Throughout the clip, her facial expressions, head movements, and body language all contribute to conveying her emotions effectively."
19,Ok!,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia1_utt4.mp4,"The speaker begins with a neutral expression, which transitions to a serious demeanor, marked by furrowed brows and a downturned mouth. This seriousness is maintained for the majority of the clip, with subtle shifts in facial expressions indicating engagement in the conversation. Towards the end, there is a slight upturn of the mouth corners, suggesting a brief smile. Throughout the clip, the speaker's gaze remains fixed on the woman, and his arms stay crossed, reinforcing a sense of attentiveness and perhaps a degree of defensiveness. His head remains relatively still, with occasional slight nods, further emphasizing his focus on the interaction. The combination of these facial actions, body language, and sustained gaze suggests an initial serious and focused emotional state that briefly lightens towards the end."
20,"All right, well...",Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia1_utt5.mp4,"The speaker begins with a neutral expression, which transitions to a serious demeanor, marked by furrowed brows and downturned mouth corners. This seriousness is maintained for the majority of the clip, with subtle shifts in facial expressions indicating engagement in the conversation. Towards the end, there is a slight upturn of the mouth corners, suggesting a brief smile. Throughout the clip, the speaker's gaze remains fixed on the woman, and their head stays relatively still, facing her directly. Their arms remain crossed throughout, conveying a sense of formality or defensiveness. The speaker's body language, including the crossed arms and minimal head movement, reinforces the impression of a serious and focused interaction. The combination of furrowed brows, downturned mouth corners, and direct gaze contributes to the perception of a serious emotional state, while the slight smile towards the end suggests a momentary shift in mood."
23,"Yeah, sure!",Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia1_utt8.mp4,"The woman begins with a neutral expression, her mouth corners slightly downturned, suggesting a serious demeanor. As she speaks, her eyebrows furrow slightly, indicating concentration or mild frustration. Her gaze remains fixed on the man throughout, showing engagement in the conversation. She makes subtle hand gestures while speaking, further emphasizing her points. Her head remains relatively still, with occasional slight tilts. Later, her mouth corners turn upwards briefly, hinting at a fleeting smile before returning to a neutral position. This shift suggests a momentary change in her emotional state, possibly reflecting a lighter thought or a brief connection with the man. Her overall body language remains relaxed, with minimal movement beyond the hand gestures. The combination of furrowed brows, focused gaze, and subtle hand movements indicates an engaged and possibly frustrated state, punctuated by a brief moment of levity."
24,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt0.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, indicated by subtle eyebrow raises and slight lip movements. His gaze shifts between looking forward and glancing down, suggesting contemplation or thoughtfulness. He nods slightly while speaking, indicating agreement or emphasis. His body language remains relatively still, with minimal movement, reinforcing his focused engagement. As the clip progresses, his expression becomes more animated, reflecting increasing involvement in the conversation. The combination of raised eyebrows, lip movements, and nodding suggests an evolving emotional state, moving from neutrality to active participation. The final segment shows a brief smile, characterized by upturned mouth corners, indicating a positive shift in emotion. This smile, coupled with the relaxed posture, suggests a moment of connection or amusement. Overall, the speaker's emotional arc transitions from neutral to engaged, then briefly to positive."
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt1.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, indicated by subtle eyebrow raises and slight lip movements. His gaze shifts between the woman and the surrounding area, suggesting active engagement in conversation. He occasionally nods his head, indicating agreement or emphasis, while his body language remains relatively still, with minimal movement beyond these gestures. As the interaction progresses, his expression becomes more animated, reflecting increasing engagement and interest. Towards the end, there is a slight upturn of the mouth corners, hinting at a brief smile, possibly in response to something said or an internal thought. This shift suggests a transition from neutrality to mild amusement or satisfaction. Overall, the speaker's emotional arc moves from neutral to engaged and then to a brief moment of positive affect."
26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt2.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, indicated by subtle eyebrow raises and slight lip movements. His gaze remains directed towards the woman throughout, suggesting focused attention. He occasionally nods his head slightly, indicating agreement or emphasis during the conversation. His body language is relatively still, with hands in pockets, suggesting a relaxed yet attentive posture. As the interaction progresses, his expression becomes more animated, reflecting engagement and interest. Towards the end, there is a slight upturn of the mouth corners, hinting at a brief smile, possibly in response to something said or an internal thought. This shift suggests a transition from neutrality to mild amusement or satisfaction. Overall, the speaker's emotional arc moves from neutral to engaged and then to a brief moment of positive affect."
27,Chris says theyre closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt3.mp4,"The woman begins with a neutral expression, her mouth corners slightly upturned, suggesting a subtle smile. Her gaze is directed towards the man she is speaking to, indicating engagement. She maintains a relatively still posture, leaning slightly forward, which suggests attentiveness. As the conversation progresses, her expression becomes more animated, with her mouth moving dynamically as she speaks, reflecting active participation. Her eyebrows remain relatively neutral, but her facial expressions become more dynamic, showing engagement and interest. Later, her expression returns to a more neutral state, though her gaze remains fixed on the man, indicating continued attention. Throughout the clip, her head remains mostly straight, with slight tilts and nods accompanying her speech, further emphasizing her engagement. Her body language, including leaning forward and gesturing with her hands, reinforces her active involvement in the conversation. The combination of her facial expressions, head movements, and body language suggests an overall emotional arc that begins neutrally, transitions to engaged and interested, and concludes with a return to neutrality."
28,No way!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt4.mp4,"The speaker begins with a neutral expression, which transitions to a more serious demeanor as he speaks, indicated by furrowed brows and a focused gaze. His mouth corners are slightly downturned, reflecting seriousness. As the conversation progresses, his expression becomes more animated, with subtle eyebrow raises and slight lip movements, suggesting engagement and thoughtfulness. He nods occasionally, indicating agreement or emphasis, while maintaining eye contact with the woman. His body language remains relatively still, with minimal movement, emphasizing verbal communication. Towards the end, his expression softens slightly, with a hint of a smile, suggesting a positive shift in the interaction. The combination of furrowed brows, focused gaze, and subtle smiles indicates an initial serious tone that evolves into a more engaged and positive interaction."
29,"Yeah, apparently theyre turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt5.mp4,"The woman begins with a neutral expression, her mouth corners slightly upturned, suggesting a subtle smile. Her gaze is directed towards the man she is speaking to, indicating engagement. She talks throughout the clip, her lips moving in sync with her speech. Initially, her head remains relatively still, facing forward, but later tilts slightly to the right, accompanied by a subtle nodding motion. This shift in head position suggests active listening or agreement. Her body language is relaxed, with minimal movement beyond the slight head tilt and nod. As the conversation progresses, her expression becomes more animated, reflecting increasing engagement. Her eyebrows remain relatively neutral, without significant furrowing or raising. Towards the end of the clip, her mouth corners turn upwards more noticeably, forming a brief smile, which indicates a positive shift in her emotional state. The combination of her facial expressions, head movements, and body language suggests an overall transition from a neutral to a more engaged and positive emotional state."
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt6.mp4,"The speaker begins with a neutral expression, which transitions to a more serious demeanor as he speaks, indicated by furrowed brows and a focused gaze. His mouth corners move dynamically, reflecting his engagement in the conversation. He nods slightly while speaking, suggesting agreement or emphasis, and maintains a relatively still posture with subtle hand gestures. His facial expressions evolve from neutral to serious, then back to neutral, indicating a shift in the tone of the conversation. The furrowed brows and dynamic mouth movements align with his serious expression, while the nodding and hand gestures suggest active engagement. The return to a neutral expression suggests a conclusion or pause in the discussion."
31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt7.mp4,"The speaker begins with a neutral expression, which transitions to a slight smile, indicating a shift towards a more positive emotional state. This change is marked by the upturning of mouth corners and subtle eyebrow movements. The speaker's gaze remains directed towards the woman throughout, suggesting engagement. Her head posture is relatively still, with occasional slight tilts, reinforcing her focused attention. The body language is relaxed, with minimal movement, further emphasizing her calm demeanor. The transition from neutrality to a slight smile suggests a positive emotional shift, possibly in response to the interaction with the woman."
32,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt8.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as she speaks, indicated by subtle eyebrow raises and slight lip movements. Her gaze remains directed towards the man she is conversing with, suggesting attentiveness. She occasionally nods her head, further emphasizing her engagement in the conversation. Her body language is relaxed, with minimal movement, indicating comfort and ease in the interaction. As the conversation progresses, her expression becomes more animated, reflecting an increase in interest or enthusiasm. This shift is marked by more pronounced eyebrow movements and increased lip activity. Towards the end of the clip, a brief smile appears, characterized by upturned mouth corners, suggesting a positive or agreeable response to something said by the man. Overall, the speaker's emotional arc moves from neutral to engaged, then to enthusiastic, culminating in a brief moment of positivity."
33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt9.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, indicated by subtle eyebrow raises and slight lip movements. His gaze remains directed towards the woman throughout, suggesting focused attention. He nods slightly while speaking, indicating agreement or emphasis, and his body language is relaxed yet attentive, with hands in pockets. As the conversation progresses, his expression becomes more animated, reflecting engagement and interest. Towards the end, there is a slight smile, suggesting a positive shift in emotion. This combination of facial expressions, head movements, and body language indicates an evolving emotional state from neutrality to engagement and mild positivity."
34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt10.mp4,"The speaker begins with a neutral expression, which transitions to a slight smile by the end. This shift suggests a positive emotional change, possibly indicating amusement or agreement. Initially, the speaker's mouth corners are neutral, but they curve slightly upwards as she speaks, reflecting her changing emotions. Her gaze remains directed towards the person she is conversing with, indicating engagement. She uses hand gestures while speaking, adding emphasis to her words. Her head remains relatively still, with subtle nods and tilts that suggest active listening and participation in the conversation. The combination of these facial expressions, body language, and head movements contributes to the interpretation of her emotional state evolving from neutral to a more positive and engaged demeanor."
35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt11.mp4,"The woman begins with a neutral expression, which transitions to a cheerful demeanor as she smiles and engages in conversation. Her mouth corners turn upwards, her teeth become visible, and her eyebrows raise slightly, indicating happiness and engagement. She maintains eye contact with someone off-screen, suggesting active participation in the interaction. Her head remains relatively still, with slight tilts and nods accompanying her speech. Her body language is relaxed, with subtle hand gestures that emphasize her points. The combination of her smile, raised eyebrows, and engaged gaze suggests a positive and enthusiastic emotional state. As the clip progresses, her expression returns to neutral, indicating a shift back to a more composed state after the initial interaction."
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia2_utt12.mp4,"The speaker begins with a neutral expression, which transitions to a slight smile, indicating a shift towards a positive emotion. This change is marked by the upturning of mouth corners and subtle cheek movement. The speaker maintains a steady gaze directed at the woman throughout the interaction, suggesting engagement and attentiveness. His head remains relatively still, with occasional slight nods, reinforcing his active participation in the conversation. The relaxed body language, combined with the slight smile, suggests a comfortable and positive emotional state."
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia3_utt0.mp4,"The woman's emotional state begins as neutral, transitions to mild frustration, and concludes with a brief smile. Initially, her mouth corners are slightly downturned, reflecting neutrality. As she speaks, her mouth corners turn upwards, indicating mild frustration. Her eyebrows remain relatively neutral throughout, suggesting controlled frustration rather than intense anger. Her gaze shifts between the man and the papers, indicating engagement in the conversation. She leans forward slightly, suggesting attentiveness and involvement. Her body language remains mostly static, with subtle hand gestures accompanying her speech. The brief smile at the end is marked by upturned mouth corners, signaling a shift towards a more positive emotion."
38,"What, what, what?!",Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia3_utt1.mp4,"The speaker begins with a neutral expression, which transitions to frustration, indicated by furrowed brows and downturned mouth corners. This frustration is evident through his hand gestures and head movements, such as nodding and shaking his head. His gaze remains directed towards the camera, suggesting engagement with an unseen audience. As the clip progresses, the speaker's frustration intensifies, reflected in more pronounced facial expressions like frowning and tightening around the mouth. Eventually, he briefly smiles, indicating a shift to a more positive emotion, possibly relief or amusement. This change is marked by upturned mouth corners and a slight relaxation of facial muscles. Throughout the clip, his body language remains active, with frequent hand gestures and head movements underscoring his emotional state. The transition from neutral to frustrated and then to a brief smile is clearly linked to these dynamic facial expressions and gestures."
39,What?!,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia3_utt2.mp4,"The speaker begins with a neutral expression, which transitions to frustration, and ends with a brief smile. Initially, his mouth corners are slightly downturned, reflecting neutrality. As he speaks, his eyebrows furrow slightly, and his mouth corners turn upwards, indicating frustration. His gaze remains directed towards the camera throughout, suggesting engagement. He uses hand gestures to emphasize his points, adding to the sense of frustration. Later, his mouth corners turn downwards again, and his eyebrows relax, signaling a return to a more neutral state. Finally, a slight upward movement of his mouth corners suggests a brief smile. His head remains relatively still, with subtle nods and tilts accompanying his speech. The combination of furrowed brows, hand gestures, and direct gaze contributes to the perception of frustration, while the eventual smile indicates a shift towards a more positive emotion."
40,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia3_utt3.mp4,"The woman's emotional state begins as neutral, transitions to mild frustration, and concludes with a brief smile. Initially, her mouth corners are slightly upturned, suggesting neutrality. As she speaks, her mouth corners turn downwards, indicating mild frustration. Her eyebrows remain relatively neutral throughout, but her gaze shifts between the man and the paper, reflecting engagement. She uses hand gestures while speaking, adding emphasis to her words. Her head remains mostly still, facing forward, with slight tilts and nods accompanying her speech. The combination of downturned mouth corners, hand gestures, and shifting gaze suggests a transition from neutrality to frustration before concluding with a brief smile."
